classifier name,metric name,step,train size,value
tripletnet + RF,accuracy,0,953,0.9162650602409639
tripletnet + RF,accuracy,1,978,0.9313253012048193
tripletnet + RF,accuracy,2,1003,0.9301204819277108
tripletnet + RF,accuracy,3,1028,0.9138554216867469
tripletnet + RF,accuracy,4,1053,0.9403614457831325
tripletnet + RF,accuracy,5,1078,0.936144578313253
tripletnet + RF,accuracy,6,1103,0.927710843373494
tripletnet + RF,accuracy,7,1128,0.946987951807229
tripletnet + RF,accuracy,8,1153,0.9481927710843373
tripletnet + RF,accuracy,9,1178,0.9421686746987952
tripletnet + RF,accuracy,10,1203,0.9566265060240964
tripletnet + RF,accuracy,11,1228,0.9602409638554217
tripletnet + RF,accuracy,12,1253,0.9512048192771084
tripletnet + RF,accuracy,13,1278,0.9560240963855422
tripletnet + RF,accuracy,14,1303,0.9548192771084337
tripletnet + RF,accuracy,15,1328,0.9608433734939759
tripletnet + RF,accuracy,16,1353,0.9620481927710843
tripletnet + RF,accuracy,17,1378,0.9596385542168675
tripletnet + RF,accuracy,18,1403,0.9644578313253012
tripletnet + RF,accuracy,19,1428,0.9614457831325302
tripletnet + RF,accuracy,20,1453,0.9620481927710843
tripletnet + RF,f1_macro,0,953,0.688942281973199
tripletnet + RF,f1_macro,1,978,0.7534047174785583
tripletnet + RF,f1_macro,2,1003,0.7457094841482108
tripletnet + RF,f1_macro,3,1028,0.7755399827896686
tripletnet + RF,f1_macro,4,1053,0.8187823583731191
tripletnet + RF,f1_macro,5,1078,0.8095324351130356
tripletnet + RF,f1_macro,6,1103,0.8108522992104088
tripletnet + RF,f1_macro,7,1128,0.8523671053669929
tripletnet + RF,f1_macro,8,1153,0.870932385611748
tripletnet + RF,f1_macro,9,1178,0.8405280451668755
tripletnet + RF,f1_macro,10,1203,0.8865611156183016
tripletnet + RF,f1_macro,11,1228,0.8876361603660147
tripletnet + RF,f1_macro,12,1253,0.8765164996497425
tripletnet + RF,f1_macro,13,1278,0.8805139124401096
tripletnet + RF,f1_macro,14,1303,0.8722088927680097
tripletnet + RF,f1_macro,15,1328,0.8987215374069683
tripletnet + RF,f1_macro,16,1353,0.902859976378155
tripletnet + RF,f1_macro,17,1378,0.889805657489179
tripletnet + RF,f1_macro,18,1403,0.8842276508227727
tripletnet + RF,f1_macro,19,1428,0.8901802956722538
tripletnet + RF,f1_macro,20,1453,0.9004443165602704
tripletnet + RF,precision,0,953,0.8807834254451679
tripletnet + RF,precision,1,978,0.8979016765282225
tripletnet + RF,precision,2,1003,0.902032416326259
tripletnet + RF,precision,3,1028,0.8516191559434804
tripletnet + RF,precision,4,1053,0.9040692476006734
tripletnet + RF,precision,5,1078,0.8949165660515354
tripletnet + RF,precision,6,1103,0.8872337988358865
tripletnet + RF,precision,7,1128,0.9072472784798254
tripletnet + RF,precision,8,1153,0.9285241950371601
tripletnet + RF,precision,9,1178,0.9064959045709277
tripletnet + RF,precision,10,1203,0.932793378133048
tripletnet + RF,precision,11,1228,0.9458138559899382
tripletnet + RF,precision,12,1253,0.9282435387829651
tripletnet + RF,precision,13,1278,0.9231325278464257
tripletnet + RF,precision,14,1303,0.9206174395367421
tripletnet + RF,precision,15,1328,0.9289612866350044
tripletnet + RF,precision,16,1353,0.9468975172041422
tripletnet + RF,precision,17,1378,0.9366185538102838
tripletnet + RF,precision,18,1403,0.9320312114013156
tripletnet + RF,precision,19,1428,0.9134727723180196
tripletnet + RF,precision,20,1453,0.9517409308588727
tripletnet + RF,recall,0,953,0.6399369677515983
tripletnet + RF,recall,1,978,0.7015542688748666
tripletnet + RF,recall,2,1003,0.681012246065497
tripletnet + RF,recall,3,1028,0.7256554680194588
tripletnet + RF,recall,4,1053,0.7657984474731903
tripletnet + RF,recall,5,1078,0.7557358054206441
tripletnet + RF,recall,6,1103,0.7606477670194445
tripletnet + RF,recall,7,1128,0.8089976647755781
tripletnet + RF,recall,8,1153,0.8235631939956107
tripletnet + RF,recall,9,1178,0.7943519895185647
tripletnet + RF,recall,10,1203,0.8486069106629431
tripletnet + RF,recall,11,1228,0.8415043518155301
tripletnet + RF,recall,12,1253,0.8359281263011189
tripletnet + RF,recall,13,1278,0.8448859014028972
tripletnet + RF,recall,14,1303,0.8359956008954867
tripletnet + RF,recall,15,1328,0.8736353059902882
tripletnet + RF,recall,16,1353,0.8662652617384345
tripletnet + RF,recall,17,1378,0.8532620742256132
tripletnet + RF,recall,18,1403,0.8505561376192569
tripletnet + RF,recall,19,1428,0.8706278837090711
tripletnet + RF,recall,20,1453,0.86022588693488
tripletnet + RF [random],accuracy,0,953,0.9162650602409639
tripletnet + RF [random],accuracy,1,978,0.9174698795180722
tripletnet + RF [random],accuracy,2,1003,0.9240963855421687
tripletnet + RF [random],accuracy,3,1028,0.9210843373493975
tripletnet + RF [random],accuracy,4,1053,0.9373493975903614
tripletnet + RF [random],accuracy,5,1078,0.9337349397590361
tripletnet + RF [random],accuracy,6,1103,0.9427710843373494
tripletnet + RF [random],accuracy,7,1128,0.9421686746987952
tripletnet + RF [random],accuracy,8,1153,0.9379518072289157
tripletnet + RF [random],accuracy,9,1178,0.9313253012048193
tripletnet + RF [random],accuracy,10,1203,0.9409638554216867
tripletnet + RF [random],accuracy,11,1228,0.946987951807229
tripletnet + RF [random],accuracy,12,1253,0.9427710843373494
tripletnet + RF [random],accuracy,13,1278,0.9524096385542169
tripletnet + RF [random],accuracy,14,1303,0.9355421686746987
tripletnet + RF [random],accuracy,15,1328,0.9463855421686747
tripletnet + RF [random],accuracy,16,1353,0.939156626506024
tripletnet + RF [random],accuracy,17,1378,0.9427710843373494
tripletnet + RF [random],accuracy,18,1403,0.9518072289156626
tripletnet + RF [random],accuracy,19,1428,0.9397590361445783
tripletnet + RF [random],accuracy,20,1453,0.944578313253012
tripletnet + RF [random],f1_macro,0,953,0.688942281973199
tripletnet + RF [random],f1_macro,1,978,0.6904959649250094
tripletnet + RF [random],f1_macro,2,1003,0.7444535812449937
tripletnet + RF [random],f1_macro,3,1028,0.7715768947612144
tripletnet + RF [random],f1_macro,4,1053,0.8010076019186464
tripletnet + RF [random],f1_macro,5,1078,0.7978772124424353
tripletnet + RF [random],f1_macro,6,1103,0.8335785390764505
tripletnet + RF [random],f1_macro,7,1128,0.8313583606493997
tripletnet + RF [random],f1_macro,8,1153,0.8051292586469577
tripletnet + RF [random],f1_macro,9,1178,0.7943293136795715
