classifier name,metric name,step,train size,value
tripletnet + RF,accuracy,0,42,0.822739481
tripletnet + RF,accuracy,1,67,0.865711728
tripletnet + RF,accuracy,2,92,0.846016115
tripletnet + RF,accuracy,3,117,0.901521934
tripletnet + RF,accuracy,4,142,0.892569382
tripletnet + RF,accuracy,5,167,0.890778872
tripletnet + RF,accuracy,6,192,0.906893465
tripletnet + RF,accuracy,7,217,0.923903312
tripletnet + RF,accuracy,8,242,0.915846016
tripletnet + RF,accuracy,9,267,0.919427037
tripletnet + RF,accuracy,10,292,0.930170098
tripletnet + RF,accuracy,11,317,0.927484333
tripletnet + RF,accuracy,12,342,0.928379588
tripletnet + RF,accuracy,13,367,0.933751119
tripletnet + RF,accuracy,14,392,0.923008057
tripletnet + RF,accuracy,15,417,0.930170098
tripletnet + RF,accuracy,16,442,0.934646374
tripletnet + RF,accuracy,17,467,0.938227395
tripletnet + RF,accuracy,18,492,0.943598926
tripletnet + RF,accuracy,19,517,0.94091316
tripletnet + RF,accuracy,20,542,0.940017905
tripletnet + RF,f1_macro,0,42,0.517705423
tripletnet + RF,f1_macro,1,67,0.592417822
tripletnet + RF,f1_macro,2,92,0.548127989
tripletnet + RF,f1_macro,3,117,0.645314718
tripletnet + RF,f1_macro,4,142,0.610337065
tripletnet + RF,f1_macro,5,167,0.669585581
tripletnet + RF,f1_macro,6,192,0.685247426
tripletnet + RF,f1_macro,7,217,0.724803589
tripletnet + RF,f1_macro,8,242,0.664984142
tripletnet + RF,f1_macro,9,267,0.674633772
tripletnet + RF,f1_macro,10,292,0.781433313
tripletnet + RF,f1_macro,11,317,0.806896411
tripletnet + RF,f1_macro,12,342,0.791794222
tripletnet + RF,f1_macro,13,367,0.831420199
tripletnet + RF,f1_macro,14,392,0.800397731
tripletnet + RF,f1_macro,15,417,0.776319659
tripletnet + RF,f1_macro,16,442,0.786508201
tripletnet + RF,f1_macro,17,467,0.802849367
tripletnet + RF,f1_macro,18,492,0.863852552
tripletnet + RF,f1_macro,19,517,0.83434055
tripletnet + RF,f1_macro,20,542,0.85004716
tripletnet + RF,precision,0,42,0.601186394
tripletnet + RF,precision,1,67,0.625961036
tripletnet + RF,precision,2,92,0.6086079
tripletnet + RF,precision,3,117,0.671655883
tripletnet + RF,precision,4,142,0.654682649
tripletnet + RF,precision,5,167,0.717450432
tripletnet + RF,precision,6,192,0.740113604
tripletnet + RF,precision,7,217,0.773848956
tripletnet + RF,precision,8,242,0.678591786
tripletnet + RF,precision,9,267,0.70727287
