classifier name,metric name,step,train size,value
tripletnet + RF,accuracy,0,42,0.773500448
tripletnet + RF,accuracy,1,67,0.843330349
tripletnet + RF,accuracy,2,92,0.769024172
tripletnet + RF,accuracy,3,117,0.867502238
tripletnet + RF,accuracy,4,142,0.832587287
tripletnet + RF,accuracy,5,167,0.912264996
tripletnet + RF,accuracy,6,192,0.924798568
tripletnet + RF,accuracy,7,217,0.924798568
tripletnet + RF,accuracy,8,242,0.920322292
tripletnet + RF,accuracy,9,267,0.923008057
tripletnet + RF,accuracy,10,292,0.924798568
tripletnet + RF,accuracy,11,317,0.930170098
tripletnet + RF,accuracy,12,342,0.930170098
tripletnet + RF,accuracy,13,367,0.933751119
tripletnet + RF,accuracy,14,392,0.936436885
tripletnet + RF,accuracy,15,417,0.923903312
tripletnet + RF,accuracy,16,442,0.934646374
tripletnet + RF,accuracy,17,467,0.946284691
tripletnet + RF,accuracy,18,492,0.931960609
tripletnet + RF,accuracy,19,517,0.931960609
tripletnet + RF,accuracy,20,542,0.94091316
tripletnet + RF,f1_macro,0,42,0.393860716
tripletnet + RF,f1_macro,1,67,0.577560483
tripletnet + RF,f1_macro,2,92,0.467842872
tripletnet + RF,f1_macro,3,117,0.525927294
tripletnet + RF,f1_macro,4,142,0.584517422
tripletnet + RF,f1_macro,5,167,0.677432695
tripletnet + RF,f1_macro,6,192,0.709125537
tripletnet + RF,f1_macro,7,217,0.720247404
tripletnet + RF,f1_macro,8,242,0.675658261
tripletnet + RF,f1_macro,9,267,0.66189315
tripletnet + RF,f1_macro,10,292,0.749507057
tripletnet + RF,f1_macro,11,317,0.7082878
tripletnet + RF,f1_macro,12,342,0.760615832
tripletnet + RF,f1_macro,13,367,0.810609159
tripletnet + RF,f1_macro,14,392,0.80743533
tripletnet + RF,f1_macro,15,417,0.730429436
tripletnet + RF,f1_macro,16,442,0.751952323
tripletnet + RF,f1_macro,17,467,0.84845777
tripletnet + RF,f1_macro,18,492,0.846287494
tripletnet + RF,f1_macro,19,517,0.807518339
tripletnet + RF,f1_macro,20,542,0.828656863
tripletnet + RF,precision,0,42,0.490236661
tripletnet + RF,precision,1,67,0.628580201
tripletnet + RF,precision,2,92,0.506205029
tripletnet + RF,precision,3,117,0.55925188
tripletnet + RF,precision,4,142,0.590650562
tripletnet + RF,precision,5,167,0.687862547
tripletnet + RF,precision,6,192,0.727567638
tripletnet + RF,precision,7,217,0.734024619
tripletnet + RF,precision,8,242,0.71028179
tripletnet + RF,precision,9,267,0.689456438
