classifier name,metric name,step,train size,value
tripletnet + RF,accuracy,0,42,0.828111012
tripletnet + RF,accuracy,1,67,0.869292748
tripletnet + RF,accuracy,2,92,0.870188004
tripletnet + RF,accuracy,3,117,0.871083259
tripletnet + RF,accuracy,4,142,0.825425246
tripletnet + RF,accuracy,5,167,0.872873769
tripletnet + RF,accuracy,6,192,0.897940913
tripletnet + RF,accuracy,7,217,0.898836168
tripletnet + RF,accuracy,8,242,0.897940913
tripletnet + RF,accuracy,9,267,0.914055506
tripletnet + RF,accuracy,10,292,0.920322292
tripletnet + RF,accuracy,11,317,0.920322292
tripletnet + RF,accuracy,12,342,0.931960609
tripletnet + RF,accuracy,13,367,0.928379588
tripletnet + RF,accuracy,14,392,0.933751119
tripletnet + RF,accuracy,15,417,0.935541629
tripletnet + RF,accuracy,16,442,0.934646374
tripletnet + RF,accuracy,17,467,0.935541629
tripletnet + RF,accuracy,18,492,0.944494181
tripletnet + RF,accuracy,19,517,0.943598926
tripletnet + RF,accuracy,20,542,0.948970457
tripletnet + RF,f1_macro,0,42,0.516509907
tripletnet + RF,f1_macro,1,67,0.590915707
tripletnet + RF,f1_macro,2,92,0.609348532
tripletnet + RF,f1_macro,3,117,0.590696281
tripletnet + RF,f1_macro,4,142,0.492294123
tripletnet + RF,f1_macro,5,167,0.592351287
tripletnet + RF,f1_macro,6,192,0.660298776
tripletnet + RF,f1_macro,7,217,0.66466779
tripletnet + RF,f1_macro,8,242,0.712934099
tripletnet + RF,f1_macro,9,267,0.732138436
tripletnet + RF,f1_macro,10,292,0.79887621
tripletnet + RF,f1_macro,11,317,0.788852138
tripletnet + RF,f1_macro,12,342,0.806255503
tripletnet + RF,f1_macro,13,367,0.808692133
tripletnet + RF,f1_macro,14,392,0.833779689
tripletnet + RF,f1_macro,15,417,0.785764089
tripletnet + RF,f1_macro,16,442,0.827152253
tripletnet + RF,f1_macro,17,467,0.824588142
tripletnet + RF,f1_macro,18,492,0.839344539
tripletnet + RF,f1_macro,19,517,0.850532346
tripletnet + RF,f1_macro,20,542,0.839233636
tripletnet + RF,precision,0,42,0.59152438
tripletnet + RF,precision,1,67,0.625828906
tripletnet + RF,precision,2,92,0.613496421
tripletnet + RF,precision,3,117,0.617957614
tripletnet + RF,precision,4,142,0.521242758
tripletnet + RF,precision,5,167,0.619150097
tripletnet + RF,precision,6,192,0.685059386
tripletnet + RF,precision,7,217,0.711269789
tripletnet + RF,precision,8,242,0.836027602
