classifier name,metric name,step,train size,value
tripletnet + RF,accuracy,0,915,0.8867469879518072
tripletnet + RF,accuracy,1,940,0.8945783132530121
tripletnet + RF,accuracy,2,965,0.8933734939759036
tripletnet + RF,accuracy,3,990,0.903012048192771
tripletnet + RF,accuracy,4,1015,0.9301204819277108
tripletnet + RF,accuracy,5,1040,0.9331325301204819
tripletnet + RF,accuracy,6,1065,0.946987951807229
tripletnet + RF,accuracy,7,1090,0.9463855421686747
tripletnet + RF,accuracy,8,1115,0.9475903614457831
tripletnet + RF,accuracy,9,1140,0.9307228915662651
tripletnet + RF,accuracy,10,1165,0.9542168674698795
tripletnet + RF,accuracy,11,1190,0.9578313253012049
tripletnet + RF,accuracy,12,1215,0.9560240963855422
tripletnet + RF,accuracy,13,1240,0.9560240963855422
tripletnet + RF,accuracy,14,1265,0.9626506024096385
tripletnet + RF,accuracy,15,1290,0.9542168674698795
tripletnet + RF,accuracy,16,1315,0.9608433734939759
tripletnet + RF,accuracy,17,1340,0.9572289156626506
tripletnet + RF,accuracy,18,1365,0.9542168674698795
tripletnet + RF,accuracy,19,1390,0.9590361445783132
tripletnet + RF,accuracy,20,1415,0.9614457831325302
tripletnet + RF,f1_macro,0,915,0.6806055058067
tripletnet + RF,f1_macro,1,940,0.7131693083527192
tripletnet + RF,f1_macro,2,965,0.7228027192032517
tripletnet + RF,f1_macro,3,990,0.7746483920996883
tripletnet + RF,f1_macro,4,1015,0.8336336887040913
tripletnet + RF,f1_macro,5,1040,0.8251100790989903
tripletnet + RF,f1_macro,6,1065,0.8567241971220607
tripletnet + RF,f1_macro,7,1090,0.8667200470152878
tripletnet + RF,f1_macro,8,1115,0.8674161957614306
tripletnet + RF,f1_macro,9,1140,0.838380125081744
tripletnet + RF,f1_macro,10,1165,0.87638680416219
tripletnet + RF,f1_macro,11,1190,0.8791278990059752
tripletnet + RF,f1_macro,12,1215,0.8850175985506155
tripletnet + RF,f1_macro,13,1240,0.8697728741643618
tripletnet + RF,f1_macro,14,1265,0.8927674546344008
tripletnet + RF,f1_macro,15,1290,0.8777923256200351
tripletnet + RF,f1_macro,16,1315,0.8800443944443532
tripletnet + RF,f1_macro,17,1340,0.8814803410311635
tripletnet + RF,f1_macro,18,1365,0.8673048376006609
tripletnet + RF,f1_macro,19,1390,0.873046235606397
tripletnet + RF,f1_macro,20,1415,0.8976692207570348
tripletnet + RF,precision,0,915,0.8880162703379224
tripletnet + RF,precision,1,940,0.8936733754952655
tripletnet + RF,precision,2,965,0.8951087630345859
tripletnet + RF,precision,3,990,0.9254341524355219
tripletnet + RF,precision,4,1015,0.9066623313481148
tripletnet + RF,precision,5,1040,0.863470319733365
tripletnet + RF,precision,6,1065,0.901905032842303
tripletnet + RF,precision,7,1090,0.9354230184528445
tripletnet + RF,precision,8,1115,0.8945880572216179
tripletnet + RF,precision,9,1140,0.883542640851193
tripletnet + RF,precision,10,1165,0.8996482932326086
tripletnet + RF,precision,11,1190,0.9236476951685095
tripletnet + RF,precision,12,1215,0.9380103268298582
tripletnet + RF,precision,13,1240,0.9020757529242693
tripletnet + RF,precision,14,1265,0.9412426192426192
tripletnet + RF,precision,15,1290,0.9122219443344479
tripletnet + RF,precision,16,1315,0.912284391247151
tripletnet + RF,precision,17,1340,0.9347767181556179
tripletnet + RF,precision,18,1365,0.9219219666365296
tripletnet + RF,precision,19,1390,0.9105425556991419
tripletnet + RF,precision,20,1415,0.9503343593940903
tripletnet + RF,recall,0,915,0.6358036018997161
tripletnet + RF,recall,1,940,0.6794314130147499
tripletnet + RF,recall,2,965,0.6759113893134824
tripletnet + RF,recall,3,990,0.7061750058543905
tripletnet + RF,recall,4,1015,0.7864497307590483
tripletnet + RF,recall,5,1040,0.8026246319239112
tripletnet + RF,recall,6,1065,0.8204631032059932
tripletnet + RF,recall,7,1090,0.8155478720570656
tripletnet + RF,recall,8,1115,0.8461516340843975
tripletnet + RF,recall,9,1140,0.8094051045625811
tripletnet + RF,recall,10,1165,0.8624134794516713
tripletnet + RF,recall,11,1190,0.8422381623529613
tripletnet + RF,recall,12,1215,0.8428223682719101
