classifier name,metric name,step,train size,value
tripletnet + RF,accuracy,0,996,0.9518072289156626
tripletnet + RF,accuracy,1,1021,0.9481927710843373
tripletnet + RF,accuracy,2,1046,0.941566265060241
tripletnet + RF,accuracy,3,1071,0.9421686746987952
tripletnet + RF,accuracy,4,1096,0.9536144578313253
tripletnet + RF,accuracy,5,1121,0.9578313253012049
tripletnet + RF,accuracy,6,1146,0.944578313253012
tripletnet + RF,accuracy,7,1171,0.9536144578313253
tripletnet + RF,accuracy,8,1196,0.946987951807229
tripletnet + RF,accuracy,9,1221,0.9530120481927711
tripletnet + RF,accuracy,10,1246,0.9512048192771084
tripletnet + RF,accuracy,11,1271,0.9572289156626506
tripletnet + RF,accuracy,12,1296,0.9602409638554217
tripletnet + RF,accuracy,13,1321,0.9620481927710843
tripletnet + RF,accuracy,14,1346,0.9674698795180723
tripletnet + RF,accuracy,15,1371,0.9602409638554217
tripletnet + RF,accuracy,16,1396,0.9620481927710843
tripletnet + RF,accuracy,17,1421,0.9668674698795181
tripletnet + RF,accuracy,18,1446,0.9620481927710843
tripletnet + RF,accuracy,19,1471,0.963855421686747
tripletnet + RF,accuracy,20,1496,0.9662650602409638
tripletnet + RF,f1_macro,0,996,0.7476233242377858
tripletnet + RF,f1_macro,1,1021,0.8425289709535452
tripletnet + RF,f1_macro,2,1046,0.8126027884572004
tripletnet + RF,f1_macro,3,1071,0.8340977239619928
tripletnet + RF,f1_macro,4,1096,0.8546175062460346
tripletnet + RF,f1_macro,5,1121,0.8744199756822594
tripletnet + RF,f1_macro,6,1146,0.8394742049665453
tripletnet + RF,f1_macro,7,1171,0.8475866932493454
tripletnet + RF,f1_macro,8,1196,0.8444502562989417
tripletnet + RF,f1_macro,9,1221,0.865024190068983
tripletnet + RF,f1_macro,10,1246,0.8494712966030292
tripletnet + RF,f1_macro,11,1271,0.8675643208850801
tripletnet + RF,f1_macro,12,1296,0.8911428348867604
tripletnet + RF,f1_macro,13,1321,0.8863398775375035
tripletnet + RF,f1_macro,14,1346,0.8987642594501424
tripletnet + RF,f1_macro,15,1371,0.8840592502002977
tripletnet + RF,f1_macro,16,1396,0.8768356329832011
tripletnet + RF,f1_macro,17,1421,0.906356776707956
tripletnet + RF,f1_macro,18,1446,0.8803763585402246
tripletnet + RF,f1_macro,19,1471,0.8978122033053747
tripletnet + RF,f1_macro,20,1496,0.9010918404082394
tripletnet + RF,precision,0,996,0.8620841632311083
tripletnet + RF,precision,1,1021,0.9336052280319682
tripletnet + RF,precision,2,1046,0.908493192333113
tripletnet + RF,precision,3,1071,0.9127095333479318
tripletnet + RF,precision,4,1096,0.9033286239587254
tripletnet + RF,precision,5,1121,0.9162993954037868
tripletnet + RF,precision,6,1146,0.9098292414146416
tripletnet + RF,precision,7,1171,0.9110031462851816
