classifier name,metric name,step,train size,value
tripletnet + RF,accuracy,0,1000,0.9403614457831325
tripletnet + RF,accuracy,1,1025,0.944578313253012
tripletnet + RF,accuracy,2,1050,0.9524096385542169
tripletnet + RF,accuracy,3,1075,0.9518072289156626
tripletnet + RF,accuracy,4,1100,0.9566265060240964
tripletnet + RF,accuracy,5,1125,0.9590361445783132
tripletnet + RF,accuracy,6,1150,0.9566265060240964
tripletnet + RF,accuracy,7,1175,0.9596385542168675
tripletnet + RF,accuracy,8,1200,0.9608433734939759
tripletnet + RF,accuracy,9,1225,0.9620481927710843
tripletnet + RF,accuracy,10,1250,0.9614457831325302
tripletnet + RF,accuracy,11,1275,0.9626506024096385
tripletnet + RF,accuracy,12,1300,0.963855421686747
tripletnet + RF,accuracy,13,1325,0.9566265060240964
tripletnet + RF,accuracy,14,1350,0.9632530120481928
tripletnet + RF,accuracy,15,1375,0.9656626506024096
tripletnet + RF,accuracy,16,1400,0.9590361445783132
tripletnet + RF,accuracy,17,1425,0.9560240963855422
tripletnet + RF,accuracy,18,1450,0.9668674698795181
tripletnet + RF,accuracy,19,1475,0.9686746987951808
tripletnet + RF,accuracy,20,1500,0.9632530120481928
tripletnet + RF,f1_macro,0,1000,0.7708146341662074
tripletnet + RF,f1_macro,1,1025,0.861031511140953
tripletnet + RF,f1_macro,2,1050,0.8597522869222836
tripletnet + RF,f1_macro,3,1075,0.8656231393748541
tripletnet + RF,f1_macro,4,1100,0.8747957213601941
tripletnet + RF,f1_macro,5,1125,0.8650238647479439
tripletnet + RF,f1_macro,6,1150,0.8857879201405412
tripletnet + RF,f1_macro,7,1175,0.8735415302962452
tripletnet + RF,f1_macro,8,1200,0.8865156698524037
tripletnet + RF,f1_macro,9,1225,0.8756091803934437
tripletnet + RF,f1_macro,10,1250,0.8827094974922043
tripletnet + RF,f1_macro,11,1275,0.8779687286023206
tripletnet + RF,f1_macro,12,1300,0.8931867714703274
tripletnet + RF,f1_macro,13,1325,0.8661307060900836
tripletnet + RF,f1_macro,14,1350,0.8582044315819066
tripletnet + RF,f1_macro,15,1375,0.9023338368492023
tripletnet + RF,f1_macro,16,1400,0.882418291065268
tripletnet + RF,f1_macro,17,1425,0.8928187788283168
tripletnet + RF,f1_macro,18,1450,0.8980806448008665
tripletnet + RF,f1_macro,19,1475,0.8986711052075703
tripletnet + RF,f1_macro,20,1500,0.8967986049172243
tripletnet + RF,precision,0,1000,0.928904819140677
tripletnet + RF,precision,1,1025,0.9237403293809863
tripletnet + RF,precision,2,1050,0.9167197696845945
tripletnet + RF,precision,3,1075,0.9102262635841978
tripletnet + RF,precision,4,1100,0.9244685959565361
tripletnet + RF,precision,5,1125,0.887171137386815
tripletnet + RF,precision,6,1150,0.9332146240990266
tripletnet + RF,precision,7,1175,0.9168388774088772
tripletnet + RF,precision,8,1200,0.9440608178521905
tripletnet + RF,precision,9,1225,0.9419926017080916
tripletnet + RF,precision,10,1250,0.9296102409774326
tripletnet + RF,precision,11,1275,0.9391931005790408
tripletnet + RF,precision,12,1300,0.9472217192906675
tripletnet + RF,precision,13,1325,0.9024558791500568
tripletnet + RF,precision,14,1350,0.9009464567937119
tripletnet + RF,precision,15,1375,0.9252423771091642
tripletnet + RF,precision,16,1400,0.9266264644883799
tripletnet + RF,precision,17,1425,0.9101364182844618
tripletnet + RF,precision,18,1450,0.9325995613227981
tripletnet + RF,precision,19,1475,0.9492664486665602
tripletnet + RF,precision,20,1500,0.9161586509611622
tripletnet + RF,recall,0,1000,0.710125923748518
tripletnet + RF,recall,1,1025,0.8134405854445271
tripletnet + RF,recall,2,1050,0.8172482740886782
tripletnet + RF,recall,3,1075,0.829347754750169
tripletnet + RF,recall,4,1100,0.8394756168385136
tripletnet + RF,recall,5,1125,0.8460365371449455
tripletnet + RF,recall,6,1150,0.849085511812573
tripletnet + RF,recall,7,1175,0.842098669470196
tripletnet + RF,recall,8,1200,0.8451225623807647
tripletnet + RF,recall,9,1225,0.8321554272623117
tripletnet + RF,recall,10,1250,0.8504752192681915
tripletnet + RF,recall,11,1275,0.838257593002437
tripletnet + RF,recall,12,1300,0.8530209063679353
tripletnet + RF,recall,13,1325,0.8382935404457719
tripletnet + RF,recall,14,1350,0.8276088234274928
tripletnet + RF,recall,15,1375,0.8830643949440123
tripletnet + RF,recall,16,1400,0.8487618809756604
tripletnet + RF,recall,17,1425,0.878268125733593
tripletnet + RF,recall,18,1450,0.8701849579785301
tripletnet + RF,recall,19,1475,0.8636666050500658
tripletnet + RF,recall,20,1500,0.8808628951949041
tripletnet + RF [random],accuracy,0,1000,0.9403614457831325
tripletnet + RF [random],accuracy,1,1025,0.9481927710843373
tripletnet + RF [random],accuracy,2,1050,0.941566265060241
tripletnet + RF [random],accuracy,3,1075,0.9433734939759036
tripletnet + RF [random],accuracy,4,1100,0.9457831325301205
tripletnet + RF [random],accuracy,5,1125,0.941566265060241
tripletnet + RF [random],accuracy,6,1150,0.9451807228915663
tripletnet + RF [random],accuracy,7,1175,0.9433734939759036
tripletnet + RF [random],accuracy,8,1200,0.9421686746987952
tripletnet + RF [random],accuracy,9,1225,0.939156626506024
tripletnet + RF [random],accuracy,10,1250,0.9385542168674699
tripletnet + RF [random],accuracy,11,1275,0.9427710843373494
tripletnet + RF [random],accuracy,12,1300,0.9397590361445783
tripletnet + RF [random],accuracy,13,1325,0.9409638554216867
tripletnet + RF [random],accuracy,14,1350,0.9427710843373494
tripletnet + RF [random],accuracy,15,1375,0.9487951807228916
tripletnet + RF [random],accuracy,16,1400,0.9542168674698795
tripletnet + RF [random],accuracy,17,1425,0.944578313253012
tripletnet + RF [random],accuracy,18,1450,0.9487951807228916
tripletnet + RF [random],accuracy,19,1475,0.946987951807229
tripletnet + RF [random],accuracy,20,1500,0.946987951807229
tripletnet + RF [random],f1_macro,0,1000,0.7708146341662074
tripletnet + RF [random],f1_macro,1,1025,0.8222320850716809
tripletnet + RF [random],f1_macro,2,1050,0.7835815092917079
tripletnet + RF [random],f1_macro,3,1075,0.7882869405783814
tripletnet + RF [random],f1_macro,4,1100,0.8064871202876569
tripletnet + RF [random],f1_macro,5,1125,0.7905028387009582
tripletnet + RF [random],f1_macro,6,1150,0.7812462567868022
tripletnet + RF [random],f1_macro,7,1175,0.7934548011824784
tripletnet + RF [random],f1_macro,8,1200,0.804443964685464
tripletnet + RF [random],f1_macro,9,1225,0.7821763840669689
tripletnet + RF [random],f1_macro,10,1250,0.7761503498320711
tripletnet + RF [random],f1_macro,11,1275,0.7884116838088719
tripletnet + RF [random],f1_macro,12,1300,0.7778725090605666
tripletnet + RF [random],f1_macro,13,1325,0.7726448380765438
tripletnet + RF [random],f1_macro,14,1350,0.7898177486654754
tripletnet + RF [random],f1_macro,15,1375,0.8262327892022887
tripletnet + RF [random],f1_macro,16,1400,0.8274658537324082
tripletnet + RF [random],f1_macro,17,1425,0.8357424447709423
tripletnet + RF [random],f1_macro,18,1450,0.8802858936047647
tripletnet + RF [random],f1_macro,19,1475,0.8744831807949863
tripletnet + RF [random],f1_macro,20,1500,0.8644335084325474
tripletnet + RF [random],precision,0,1000,0.928904819140677
tripletnet + RF [random],precision,1,1025,0.9275443193281564
tripletnet + RF [random],precision,2,1050,0.9158428732570139
tripletnet + RF [random],precision,3,1075,0.9227501352049341
tripletnet + RF [random],precision,4,1100,0.9330008072886633
tripletnet + RF [random],precision,5,1125,0.9203260791054699
tripletnet + RF [random],precision,6,1150,0.9225017859251249
tripletnet + RF [random],precision,7,1175,0.9292461010509545
tripletnet + RF [random],precision,8,1200,0.9245645947832404
tripletnet + RF [random],precision,9,1225,0.9192748484795745
tripletnet + RF [random],precision,10,1250,0.9159799827010288
tripletnet + RF [random],precision,11,1275,0.9213951709635054
tripletnet + RF [random],precision,12,1300,0.9082739528559962
tripletnet + RF [random],precision,13,1325,0.9168391141877337
tripletnet + RF [random],precision,14,1350,0.9190243652614649
tripletnet + RF [random],precision,15,1375,0.9046334629103508
tripletnet + RF [random],precision,16,1400,0.9449041457985414
tripletnet + RF [random],precision,17,1425,0.8581085667892859
tripletnet + RF [random],precision,18,1450,0.895000830265731
tripletnet + RF [random],precision,19,1475,0.9137078792042722
tripletnet + RF [random],precision,20,1500,0.9055085989203041
tripletnet + RF [random],recall,0,1000,0.710125923748518
tripletnet + RF [random],recall,1,1025,0.7624621775448499
tripletnet + RF [random],recall,2,1050,0.7258444994463019
tripletnet + RF [random],recall,3,1075,0.7324013338683628
tripletnet + RF [random],recall,4,1100,0.7440663253863609
tripletnet + RF [random],recall,5,1125,0.7343310230798191
tripletnet + RF [random],recall,6,1150,0.7322545536879133
tripletnet + RF [random],recall,7,1175,0.7341109632518024
tripletnet + RF [random],recall,8,1200,0.7451343676286755
tripletnet + RF [random],recall,9,1225,0.7223386918158167
tripletnet + RF [random],recall,10,1250,0.7162340969764636
tripletnet + RF [random],recall,11,1275,0.7331837192715824
tripletnet + RF [random],recall,12,1300,0.7212998172149321
tripletnet + RF [random],recall,13,1325,0.7191367989594204
tripletnet + RF [random],recall,14,1350,0.7339653323607174
tripletnet + RF [random],recall,15,1375,0.7767919486215992
tripletnet + RF [random],recall,16,1400,0.7697306773422905
tripletnet + RF [random],recall,17,1425,0.8236415966599397
tripletnet + RF [random],recall,18,1450,0.86745546733257
tripletnet + RF [random],recall,19,1475,0.8415856045745261
tripletnet + RF [random],recall,20,1500,0.829264784275155
tripletnet + RF [entropy],accuracy,0,1000,0.9403614457831325
tripletnet + RF [entropy],accuracy,1,1025,0.9457831325301205
tripletnet + RF [entropy],accuracy,2,1050,0.9463855421686747
tripletnet + RF [entropy],accuracy,3,1075,0.9518072289156626
tripletnet + RF [entropy],accuracy,4,1100,0.9530120481927711
tripletnet + RF [entropy],accuracy,5,1125,0.9512048192771084
tripletnet + RF [entropy],accuracy,6,1150,0.9427710843373494
tripletnet + RF [entropy],accuracy,7,1175,0.9487951807228916
tripletnet + RF [entropy],accuracy,8,1200,0.9542168674698795
tripletnet + RF [entropy],accuracy,9,1225,0.9512048192771084
tripletnet + RF [entropy],accuracy,10,1250,0.9560240963855422
tripletnet + RF [entropy],accuracy,11,1275,0.9566265060240964
tripletnet + RF [entropy],accuracy,12,1300,0.9620481927710843
tripletnet + RF [entropy],accuracy,13,1325,0.9608433734939759
tripletnet + RF [entropy],accuracy,14,1350,0.9542168674698795
